"","1st","1-dist","2nd","2-dist","3rd","3-dist","4th","4-dist","5th","5-dist"
"1",681,0,2402,0.0410958904109589,2295,0.0547945205479452,351,0.0684931506849315,2014,0.076923076923077
"2",2706,0.0104166666666667,2598,0.029310694549332,1130,0.0585233570446933,2945,0.0586213890986641,868,0.0692807234026405
"3",2539,0.520548268625487,1741,0.522045311844832,1427,0.527246381250336,631,0.613849573279308,1742,1.00332834587379
"4",2956,0.582850759152694,359,0.691086350906654,2135,0.883563306380706,717,0.976308293203527,2266,0.98598340375823
"5",1410,0,2158,0.0136986301369863,148,0.0410958904109589,294,0.0547945205479452,1755,0.0808630942316787
"6",2350,0.117699336984214,1374,0.124667582535289,2400,0.138034886659292,2834,0.156849338435423,1957,0.158408214577999
"7",2540,0.0890519744349873,2964,0.0890519744349873,2311,0.0921586217000855,1326,0.0985963476137798,2658,0.115538771985362
"8",1933,0.0520833333333333,2906,0.053854675551349,344,0.0588496684921072,2546,0.0588496684921072,1695,0.0973044831741544
"9",1053,0.041095890410959,602,0.0755983670008176,1550,0.0755983670008176,1556,0.0821917808219178,632,0.0973044831741543
"10",1763,0.092915642671802,2005,0.09995816715225,1680,0.105990565811733,422,0.108117741974655,1335,0.111168184646271
"11",2657,0.0588496684921071,784,0.148719859926107,1736,0.161401810158592,1704,0.168256138575177,2936,0.172092827298058
"12",2220,0.552113355973364,121,0.765118439852789,2563,0.776377040695454,2600,0.77804629195734,2308,0.884100489306623
"13",2997,0.08445174309672,1257,0.0997340660282315,1888,0.123878317476711,637,0.126330982442478,65,0.143997820295173
"14",2307,0.0821917808219178,2049,0.0833333333333333,372,0.117341192917599,2445,0.183184723783585,723,0.215418702205396
"15",2746,0,1105,0.0410958904109589,1500,0.0684931506849315,1603,0.0877214586914983,126,0.141055789198534
"16",650,0.232284720712708,2246,0.249065748897973,2851,0.264862638612647,2607,0.278879294073782,2868,0.326078115688565
"17",1364,0.0588496684921072,273,0.0663441468388935,1003,0.140702202938018,847,0.162999893042896,1317,0.236573691438701
"18",2932,0.63893421305871,2781,0.777158064200103,1618,1.00651759865286,2837,1.01152760292155,1361,1.01186809017383
"19",2906,0.189895473147068,8,0.193544302575535,344,0.194291438129471,2546,0.194291438129471,1426,0.199944316846913
"20",1941,0,870,0.0136986301369864,597,0.0921498776222155,900,0.122197514065347,1502,0.122555912320033
"21",1144,0.172459801646712,2303,0.305837322679896,749,0.366021260972464,2552,0.437611432092776,1606,0.467868913900794
