"","Actual Class","Predicted Class","Posterior Probability"
"1"," <=50K"," <=50K","0.807321772639692"
"2"," <=50K"," <=50K","0.809248554913295"
"3"," >50K"," <=50K","0.807321772639692"
"4"," <=50K"," <=50K","0.807321772639692"
"5"," <=50K"," <=50K","0.809248554913295"
"6"," <=50K"," <=50K","0.809248554913295"
"7"," <=50K"," <=50K","0.809248554913295"
"8"," <=50K"," <=50K","0.809248554913295"
"9"," >50K"," <=50K","0.809248554913295"
"10"," >50K"," <=50K","0.807321772639692"
"11"," <=50K"," <=50K","0.807321772639692"
"12"," >50K"," <=50K","0.809248554913295"
"13"," <=50K"," <=50K","0.809248554913295"
"14"," <=50K"," <=50K","0.809248554913295"
"15"," <=50K"," <=50K","0.807321772639692"
"16"," >50K"," <=50K","0.809248554913295"
"17"," >50K"," <=50K","0.807321772639692"
"18"," <=50K"," <=50K","0.809248554913295"
"19"," <=50K"," <=50K","0.809248554913295"
"20"," <=50K"," <=50K","0.807321772639692"
"21"," <=50K"," <=50K","0.807321772639692"
"22"," <=50K"," <=50K","0.809248554913295"
"23"," <=50K"," <=50K","0.807321772639692"
"24"," <=50K"," <=50K","0.807321772639692"
"25"," <=50K"," <=50K","0.807321772639692"
"26"," <=50K"," <=50K","0.809248554913295"
"27"," <=50K"," <=50K","0.807321772639692"
"28"," <=50K"," <=50K","0.809248554913295"
"29"," >50K"," <=50K","0.807321772639692"
"30"," <=50K"," <=50K","0.809248554913295"
"31"," >50K"," <=50K","0.807321772639692"
"32"," <=50K"," <=50K","0.809248554913295"
"33"," >50K"," <=50K","0.807321772639692"
"34"," <=50K"," <=50K","0.807321772639692"
"35"," <=50K"," <=50K","0.807321772639692"
"36"," <=50K"," <=50K","0.809248554913295"
"37"," <=50K"," <=50K","0.807321772639692"
"38"," <=50K"," <=50K","0.807321772639692"
"39"," <=50K"," <=50K","0.807321772639692"
"40"," >50K"," <=50K","0.807321772639692"
"41"," >50K"," <=50K","0.807321772639692"
"42"," <=50K"," <=50K","0.809248554913295"
"43"," >50K"," <=50K","0.809248554913295"
"44"," <=50K"," <=50K","0.807321772639692"
"45"," <=50K"," <=50K","0.807321772639692"
"46"," <=50K"," <=50K","0.807321772639692"
"47"," <=50K"," <=50K","0.809248554913295"
"48"," <=50K"," <=50K","0.809248554913295"
"49"," <=50K"," <=50K","0.807321772639692"
"50"," >50K"," <=50K","0.809248554913295"
"51"," >50K"," <=50K","0.807321772639692"
"52"," <=50K"," <=50K","0.807321772639692"
"53"," <=50K"," <=50K","0.809248554913295"
"54"," >50K"," <=50K","0.807321772639692"
"55"," <=50K"," <=50K","0.807321772639692"
"56"," <=50K"," <=50K","0.809248554913295"
"57"," <=50K"," <=50K","0.807321772639692"
"58"," <=50K"," <=50K","0.807321772639692"
"59"," >50K"," <=50K","0.807321772639692"
"60"," <=50K"," <=50K","0.809248554913295"
"61"," <=50K"," <=50K","0.807321772639692"
"62"," <=50K"," <=50K","0.807321772639692"
"63"," >50K"," <=50K","0.809248554913295"
"64"," <=50K"," <=50K","0.809248554913295"
"65"," <=50K"," <=50K","0.807321772639692"
"66"," <=50K"," <=50K","0.807321772639692"
"67"," <=50K"," <=50K","0.809248554913295"
"68"," <=50K"," <=50K","0.807321772639692"
"69"," <=50K"," <=50K","0.807321772639692"
"70"," <=50K"," <=50K","0.807321772639692"
"71"," <=50K"," <=50K","0.807321772639692"
"72"," <=50K"," <=50K","0.807321772639692"
"73"," <=50K"," <=50K","0.807321772639692"
"74"," <=50K"," <=50K","0.807321772639692"
"75"," <=50K"," <=50K","0.807321772639692"
"76"," <=50K"," <=50K","0.807321772639692"
"77"," >50K"," <=50K","0.807321772639692"
"78"," >50K"," <=50K","0.807321772639692"
"79"," <=50K"," <=50K","0.807321772639692"
"80"," <=50K"," <=50K","0.807321772639692"
"81"," <=50K"," <=50K","0.807321772639692"
"82"," <=50K"," <=50K","0.809248554913295"
"83"," <=50K"," <=50K","0.807321772639692"
"84"," <=50K"," <=50K","0.807321772639692"
"85"," <=50K"," <=50K","0.807321772639692"
"86"," >50K"," <=50K","0.807321772639692"
"87"," >50K"," <=50K","0.807321772639692"
"88"," <=50K"," <=50K","0.807321772639692"
"89"," <=50K"," <=50K","0.809248554913295"
"90"," >50K"," <=50K","0.807321772639692"
"91"," <=50K"," <=50K","0.809248554913295"
"92"," <=50K"," <=50K","0.807321772639692"
"93"," >50K"," <=50K","0.807321772639692"
"94"," <=50K"," <=50K","0.809248554913295"
"95"," <=50K"," <=50K","0.809248554913295"
"96"," <=50K"," <=50K","0.807321772639692"
"97"," >50K"," <=50K","0.807321772639692"
"98"," <=50K"," <=50K","0.807321772639692"
"99"," <=50K"," <=50K","0.807321772639692"
"100"," <=50K"," <=50K","0.807321772639692"
"101"," <=50K"," <=50K","0.807321772639692"
"102"," <=50K"," <=50K","0.807321772639692"
"103"," <=50K"," <=50K","0.809248554913295"
"104"," >50K"," <=50K","0.807321772639692"
"105"," <=50K"," <=50K","0.807321772639692"
"106"," <=50K"," <=50K","0.807321772639692"
"107"," <=50K"," <=50K","0.807321772639692"
"108"," >50K"," <=50K","0.807321772639692"
"109"," <=50K"," <=50K","0.809248554913295"
"110"," <=50K"," <=50K","0.807321772639692"
"111"," <=50K"," <=50K","0.809248554913295"
"112"," >50K"," <=50K","0.807321772639692"
"113"," >50K"," <=50K","0.807321772639692"
"114"," >50K"," <=50K","0.809248554913295"
"115"," <=50K"," <=50K","0.809248554913295"
"116"," <=50K"," <=50K","0.807321772639692"
"117"," >50K"," <=50K","0.807321772639692"
"118"," <=50K"," <=50K","0.807321772639692"
"119"," >50K"," <=50K","0.809248554913295"
"120"," <=50K"," <=50K","0.809248554913295"
"121"," <=50K"," <=50K","0.809248554913295"
"122"," <=50K"," <=50K","0.809248554913295"
"123"," <=50K"," <=50K","0.809248554913295"
"124"," <=50K"," <=50K","0.809248554913295"
"125"," >50K"," <=50K","0.807321772639692"
"126"," <=50K"," <=50K","0.807321772639692"
"127"," <=50K"," <=50K","0.809248554913295"
"128"," <=50K"," <=50K","0.809248554913295"
"129"," >50K"," <=50K","0.807321772639692"
"130"," <=50K"," <=50K","0.809248554913295"
"131"," <=50K"," <=50K","0.809248554913295"
"132"," <=50K"," <=50K","0.807321772639692"
"133"," <=50K"," <=50K","0.807321772639692"
"134"," <=50K"," <=50K","0.809248554913295"
"135"," >50K"," <=50K","0.807321772639692"
"136"," <=50K"," <=50K","0.807321772639692"
"137"," >50K"," <=50K","0.807321772639692"
"138"," <=50K"," <=50K","0.807321772639692"
"139"," <=50K"," <=50K","0.807321772639692"
"140"," <=50K"," <=50K","0.809248554913295"
"141"," <=50K"," <=50K","0.807321772639692"
"142"," <=50K"," <=50K","0.807321772639692"
"143"," <=50K"," <=50K","0.809248554913295"
